Category,Field,Number,Name,Field + Number, 
CA,ANTHR,3479,"Culture, Language, and Thought",ANTHR 3479, 
CA,ANTHR,3487,Racial Capitalism,ANTHR 3487, 
CA,ANTHR,3516,"Power, Society, and Culture in Southeast Asia",ANTHR 3516, 
CA,ANTHR,3552,Genocide Today,ANTHR 3552, 
CA,ANTHR,3703,Asians in the Americas: A Comparative Perspective,ANTHR 3703, 
CA,ANTHR,3762,"Law, Latinxs, Illegality",ANTHR 3762, 
CA,ANTHR,3777,The United States,ANTHR 3777, 
CA,ANTHR,3950,Humanities Scholars Research Methods,ANTHR 3950, 
CA,ANTHR,4030,"The Caucasus: Captives, Cultures, Conflicts",ANTHR 4030, 
CA,ANTHR,4176,Humanitarian Affects,ANTHR 4176, 
CA,ANTHR,4227,Embodiment of Inequality: A Bioarchaeological Perspective,ANTHR 4227, 
CA,ANTHR,4240,Collecting Culture: Museums and Anthropology,ANTHR 4240, 
CA,ANTHR,4256,Time and History in Ancient Mexico,ANTHR 4256, 
CA,ANTHR,4402,Anthropology of Education,ANTHR 4402, 
CA,ANTHR,4413,Walter Benjamin,ANTHR 4413, 
CA,ANTHR,4416,It's the End of the World As We Know It,ANTHR 4416, 
CA,ANTHR,4418,"Writing Ethnography: Theory, Genre and Practice",ANTHR 4418, 
CA,ANTHR,4434,"Ethnoracial Identity in Anthropology, Language, and Law",ANTHR 4434, 
CA,ANTHR,4435,Postcolonial Science,ANTHR 4435, 
CA,ANTHR,4437,Ethnographies of Development,ANTHR 4437, 
CA,ANTHR,4442,Toxicity,ANTHR 4442, 
CA,ANTHR,4448,"Death, Dying, and the Dead",ANTHR 4448, 
CA,ANTHR,4454,"Jews, Race, and Difference",ANTHR 4454, 
CA,ANTHR,4458,"Girls, Women, and Education in Global Perspective: Feminist Ethnography and Praxis",ANTHR 4458, 
CA,ANTHR,4460,"Heritage and its Entanglements: Representing, Collecting, and Preserving Cultural Identity",ANTHR 4460, 
CA,ANTHR,4463,Modes of Jewish Textuality,ANTHR 4463, 
CA,ANTHR,4465,Language Ideologies and Practices,ANTHR 4465, 
CA,ANTHR,4467,Self and Subjectivity,ANTHR 4467, 
CA,ANTHR,4470,Race and Justice After DNA,ANTHR 4470, 
CA,ANTHR,4472,Pandemics Past and Pending,ANTHR 4472, 
CA,ANTHR,4476,"Carceral Worlds: Policing, Prisons, and Securitization",ANTHR 4476, 
CA,ANTHR,4493,Utopia Lost? Failure and its Aftermaths,ANTHR 4493, 
CA,ANTHR,4499,Primitive Accumulation,ANTHR 4499, 
CA,ANTHR,4513,Religion and Politics in Southeast Asia,ANTHR 4513, 
CA,ANTHR,4520,Society and Culture in the Nilgiris: Engaged Research in Rural South India,ANTHR 4520, 
CA,ANTHR,4637,Shi'ism: Poetics and Politics,ANTHR 4637, 
CA,ANTHR,4682,Medicine and Healing in Africa,ANTHR 4682, 
CA,ANTHR,4725,American Indian Lands and Sovereignties,ANTHR 4725, 
CA,ANTHR,4733,The Lower East Side: Jews and the Immigrant City,ANTHR 4733, 
CA,ANTHR,4771,"Indigenous Art, Film, and New Media: Anti-Colonial Strategies",ANTHR 4771, 
CA,ARAB,1203,Intermediate Arabic I,ARAB 1203, 
CA,ARAB,2201,Arabic for Heritage Speakers,ARAB 2201, 
CA,ARAB,2202,Intermediate Arabic II,ARAB 2202, 
CA,ARAB,3201,Advanced Arabic I,ARAB 3201, 
CA,ARAB,3202,Advanced Arabic II,ARAB 3202, 
CA,ARAB,3203,Arab Society and Culture,ARAB 3203, 
CA,ARAB,3206,Intensive Arabic II,ARAB 3206, 
CA,ARAB,4203,Current Events in Arabic Media,ARAB 4203, 
CA,ARKEO,1704,Statues and Public Life,ARKEO 1704, 
CA,ARKEO,2285,Egyptomania? Egypt and the Greco-Roman World,ARKEO 2285, 
CA,ARKEO,2465,Global Heritage,ARKEO 2465, 
CA,ARKEO,2522,Drinking through the Ages: Intoxicating Beverages in Near Eastern and World History,ARKEO 2522, 
CA,ARKEO,2710,Roman Wall Painting,ARKEO 2710, 
CA,ARKEO,2743,Archaeology of Roman Private Life,ARKEO 2743, 
CA,ARKEO,2846,Magic and Witchcraft in the Greco-Roman World,ARKEO 2846, 
CA,ARKEO,3030,Community Engagement in Archaeology,ARKEO 3030, 
CA,ARKEO,3225,Archaic and Classical Greece,ARKEO 3225, 
CA,ARKEO,3566,Art and Architecture of the Pre-Columbian Americas,ARKEO 3566, 
CA,ARKEO,3588,Archaeology and Biblical History,ARKEO 3588, 
CA,ARKEO,3738,Identity in the Ancient World,ARKEO 3738, 
CA,ARKEO,4030,"The Caucasus: Captives, Cultures, Conflicts",ARKEO 4030, 
CA,ARKEO,4227,Embodiment of Inequality: A Bioarchaeological Perspective,ARKEO 4227, 
CA,ARKEO,4240,Collecting Culture: Museums and Anthropology,ARKEO 4240, 
CA,ARKEO,4256,Time and History in Ancient Mexico,ARKEO 4256, 
CA,ARKEO,4353,"Sardis, A City at the Crossroads",ARKEO 4353, 
CA,ARKEO,4460,"Heritage and its Entanglements: Representing, Collecting, and Preserving Cultural Identity",ARKEO 4460, 
CA,ARKEO,4550,Archaeology of the Phoenicians,ARKEO 4550, 
CA,ARKEO,4618,Data Corruption's Deep History,ARKEO 4618, 
CA,ARTH,1100,Art Histories: An Introduction,ARTH 1100, 
CA,ARTH,1704,Statues and Public Life,ARTH 1704, 
CA,ARTH,2101,Indigenous Ingenuities as Living Networks,ARTH 2101, 
CA,ARTH,2221,Archaeology of Roman Private Life,ARTH 2221, 
CA,ARTH,2355,Introduction to Medieval Art and Culture,ARTH 2355, 
CA,ARTH,2550,Introduction to Latin American Art,ARTH 2550, 
CA,ARTH,2600,"Introduction to Modern Western Art: Materials, Media, and the End of Masterpieces",ARTH 2600, 
CA,ARTH,2710,Roman Wall Painting,ARTH 2710, 
CA,ARTH,2805,Introduction to Asian Art: Material Worlds,ARTH 2805, 
CA,ARTH,3000,Everyday Aesthetics,ARTH 3000, 
CA,ARTH,3225,Archaic and Classical Greece,ARTH 3225, 
CA,ARTH,3535,New German Cinema,ARTH 3535, 
CA,ARTH,3565,Art and Architecture of Colonial Latin America,ARTH 3565, 
CA,ARTH,3566,Art and Architecture of the Pre-Columbian Americas,ARTH 3566, 
CA,ARTH,3600,Contemporary Art: 1960-Present,ARTH 3600, 
CA,ARTH,3611,"Art of South Asia, 1200 - Present",ARTH 3611, 
CA,ARTH,3620,After Nature: Art and Environmental Imagination,ARTH 3620, 
CA,ARTH,3625,"Paris, Capital of Modernity?",ARTH 3625, 
CA,ARTH,3650,History and Theory of Digital Art,ARTH 3650, 
CA,ARTH,3651,Women in New Media Art,ARTH 3651, 
CA,ARTH,3741,Greco-Roman Art from Alexander to Augustus (c.350 BC - AD 20),ARTH 3741, 
CA,ARTH,3850,The Arts of Southeast Asia,ARTH 3850, 
CA,ARTH,3901,Ancient Art in Upstate New York,ARTH 3901, 
CA,ARTH,4035,Greco-Roman Art at Cornell,ARTH 4035, 
CA,ARTH,4110,Curatorial Practicum,ARTH 4110, 
CA,ARTH,4151,Topics in Media Arts,ARTH 4151, 
CA,ARTH,4153,Topics in Feminist Media Arts,ARTH 4153, 
CA,ARTH,4154,"Feminism, Post-Feminism, and Cyberfeminism",ARTH 4154, 
CA,ARTH,4155,Topics in Latin American Art,ARTH 4155, 
CA,ARTH,4165,Visual Encounters in the Early Modern World,ARTH 4165, 
CA,ARTH,4171,19th Century Art and Culture,ARTH 4171, 
CA,ARTH,4310,Methods in Medieval,ARTH 4310, 
CA,ARTH,4353,"Sardis, A City at the Crossroads",ARTH 4353, 
CA,ARTH,4630,Museum Histories,ARTH 4630, 
CA,ARTH,4690,Comparative Modernities,ARTH 4690, 
CA,ARTH,4691,Art and Globalization,ARTH 4691, 
CA,ARTH,4695,Studies in Global Modern Art,ARTH 4695, 
CA,ARTH,4771,"Indigenous Art, Film, and New Media: Anti-Colonial Strategies",ARTH 4771, 
CA,ARTH,4820,Art in Zen and Zen in Art,ARTH 4820, 
CA,ARTH,4822,"Objects, Rituals, and Tea",ARTH 4822, 
CA,ARTH,4852,Shadowplay: Asian Art and Performance,ARTH 4852, 
CA,ARTH,4854,Water: Art and Politics in Southeast Asia,ARTH 4854, 
CA,ARTH,4855,Threads of Consequence: Textiles in South and Southeast Asia,ARTH 4855, 
CA,ARTH,4856,Producing Cloth Cultures,ARTH 4856, 
CA,ARTH,4858,"Dancing the Stone: Body, Memory, and Architecture",ARTH 4858, 
CA,ASIAN,2208,Introduction to Southeast Asia,ASIAN 2208, 
CA,ASIAN,2211,Introduction to Japan,ASIAN 2211, 
CA,ASIAN,2212,Introduction to China,ASIAN 2212, 
CA,ASIAN,2218,Introduction to Korea,ASIAN 2218, 
CA,ASIAN,2225,"Literature, Politics, and Genocide in Cambodia",ASIAN 2225, 
CA,ASIAN,2252,Introduction to Japanese Film,ASIAN 2252, 
CA,ASIAN,2254,South Asian Religions in Practice: The Healing Traditions,ASIAN 2254, 
CA,ASIAN,2256,Digital Korea,ASIAN 2256, 
CA,ASIAN,2259,Music in and of East Asia,ASIAN 2259, 
CA,ASIAN,2260,Japanese Pop Culture,ASIAN 2260, 
CA,ASIAN,2269,Korean Popular Culture,ASIAN 2269, 
CA,ASIAN,2277,Meditation in Indian Culture,ASIAN 2277, 
CA,ASIAN,2285,Introduction to Asian Art: Material Worlds,ASIAN 2285, 
CA,ASIAN,2299,Buddhism,ASIAN 2299, 
CA,ASIAN,3309,Temple in the World: Buddhism in Contemporary South and Southeast Asia,ASIAN 3309, 
CA,ASIAN,3311,Performing Islam in Southeast Asia,ASIAN 3311, 
CA,ASIAN,3327,China and the World,ASIAN 3327, 
CA,ASIAN,3341,Mahayana Buddhism,ASIAN 3341, 
CA,ASIAN,3350,The Arts of Southeast Asia,ASIAN 3350, 
CA,ASIAN,3351,Indian Religious Worlds,ASIAN 3351, 
CA,ASIAN,3365,Genocide Today,ASIAN 3365, 
CA,ASIAN,3370,Nature and Ecology in Ancient Chinese Travel Writing,ASIAN 3370, 
CA,ASIAN,3375,Humanities Scholars Research Methods,ASIAN 3375, 
CA,ASIAN,3376,Digital Asia,ASIAN 3376, 
CA,ASIAN,3382,"Art of South Asia, 1200 - Present",ASIAN 3382, 
CA,ASIAN,3395,What is China?,ASIAN 3395, 
CA,ASIAN,4406,Media Theory and Japan,ASIAN 4406, 
CA,ASIAN,4413,Religion and Politics in Southeast Asia,ASIAN 4413, 
CA,ASIAN,4416,Gender and Sexuality in Southeast Asia,ASIAN 4416, 
CA,ASIAN,4423,The City: Asia,ASIAN 4423, 
CA,ASIAN,4424,"Objects, Rituals, and Tea",ASIAN 4424, 
CA,ASIAN,4442,Shadowplay: Asian Art and Performance,ASIAN 4442, 
CA,ASIAN,4447,Interpreting Indian Texts,ASIAN 4447, 
CA,ASIAN,4450,Art in Zen and Zen in Art,ASIAN 4450, 
CA,ASIAN,4452,Critical Filipino and Filipino American Studies,ASIAN 4452, 
CA,ASIAN,4455,Digital Media in Japan,ASIAN 4455, 
CA,ASIAN,4456,"Dancing the Stone: Body, Memory, and Architecture",ASIAN 4456, 
CA,ASIAN,4462,"Religion, Colonialism, and Nationalism in South and Southeast Asia",ASIAN 4462, 
CA,ASIAN,4480,Projects of Modernity in Asia,ASIAN 4480, 
CA,ASIAN,4487,Threads of Consequence: Textiles in South and Southeast Asia,ASIAN 4487, 
CA,ASIAN,4499,Water: Art and Politics in Southeast Asia,ASIAN 4499, 
CA,ASRC,1203,Intermediate Arabic I,ASRC 1203, 
CA,ASRC,1330,African Music,ASRC 1330, 
CA,ASRC,1500,Introduction to Africana Studies,ASRC 1500, 
CA,ASRC,2105,Arabic for Heritage Speakers,ASRC 2105, 
CA,ASRC,2200,Intermediate Arabic II,ASRC 2200, 
CA,ASRC,2235,New Visions in African Cinema,ASRC 2235, 
CA,ASRC,2240,Perspectives on the Caribbean,ASRC 2240, 
CA,ASRC,2260,Music of the 1960's,ASRC 2260, 
CA,ASRC,2350,Music of the African Diaspora,ASRC 2350, 
CA,ASRC,2370,Planet Rap: Where Hip Hop Came From and Where It's Going,ASRC 2370, 
CA,ASRC,2560,Black Queer Writing and Media,ASRC 2560, 
CA,ASRC,2650,Introduction to African American Literature,ASRC 2650, 
CA,ASRC,2770,"Representing Racial Encounters, Encountering Racial Representations",ASRC 2770, 
CA,ASRC,3100,Advanced Arabic I,ASRC 3100, 
CA,ASRC,3101,Advanced Arabic II,ASRC 3101, 
CA,ASRC,3434,Underground Railroad Seminar,ASRC 3434, 
CA,ASRC,3440,"Merchants, Whalers, Pirates, Sailors: American Maritime Literature from the 19th Century and Beyond",ASRC 3440, 
CA,ASRC,3470,Nueva York: Caribbean Urbanisms,ASRC 3470, 
CA,ASRC,3480,Brazilian Culture through its Music,ASRC 3480, 
CA,ASRC,3570,Colonized and Colonizer: African and European Writers in Conversation,ASRC 3570, 
CA,ASRC,3734,Whiteness in Literature and Popular Culture,ASRC 3734, 
CA,ASRC,3742,Africans and African Americans in Literature,ASRC 3742, 
CA,ASRC,4560,The Politics and Joy in Black Women's Writing,ASRC 4560, 
CA,ASRC,4655,Black Speculative Fiction,ASRC 4655, 
CA,ASRC,4662,Dark Laboratory: Black and Native Media Ecologies,ASRC 4662, 
CA,ASRC,4670,Race and Justice After DNA,ASRC 4670, 
CA,ASRC,4682,Medicine and Healing in Africa,ASRC 4682, 
CA,ASRC,4721,Peace Building in Conflict Regions: Case Studies Sub-Saharan Africa Israel Palestinian Territories,ASRC 4721, 
CA,ASRC,4733,The Future of Whiteness,ASRC 4733, 
CA,ASRC,4995,Body Politics in African Literature and Cinema,ASRC 4995, 
CA,BIONB,3215,Gender and the Brain,BIONB 3215, 
CA,BIOSM,2025,Coastal Environmental Justice,BIOSM 2025, 
CA,BSOC,2131,Science Fiction,BSOC 2131, 
CA,BSOC,2420,Nature-Culture: Ethnographic Approaches to Human Environment Relations,BSOC 2420, 
CA,BSOC,2468,"Medicine, Culture, and Society",BSOC 2468, 
CA,BSOC,3460,Anthropology of the Body,BSOC 3460, 
CA,BSOC,4227,Embodiment of Inequality: A Bioarchaeological Perspective,BSOC 4227, 
CA,BSOC,4351,Postcolonial Science,BSOC 4351, 
CA,BSOC,4650,Advanced Topics in Clinical Ethics,BSOC 4650, 
CA,BSOC,4682,Medicine and Healing in Africa,BSOC 4682, 
CA,CAPS,2212,Introduction to China,CAPS 2212, 
CA,CAPS,3370,Nature and Ecology in Ancient Chinese Travel Writing,CAPS 3370, 
CA,CAPS,3827,China and the World,CAPS 3827, 
CA,CAPS,3967,What is China?,CAPS 3967, 
CA,CAPS,4001,China in Transition,CAPS 4001, 
CA,CAPS,4030,Making Sense of China: The Capstone Seminar,CAPS 4030, 
CA,CAPS,4071,Law Culture and Society in China,CAPS 4071, 
CA,CLASS,1704,Statues and Public Life,CLASS 1704, 
CA,CLASS,2601,The Greek Experience,CLASS 2601, 
CA,CLASS,2630,Drinking through the Ages: Intoxicating Beverages in Near Eastern and World History,CLASS 2630, 
CA,CLASS,2646,Magic and Witchcraft in the Greco-Roman World,CLASS 2646, 
CA,CLASS,2685,Egyptomania? Egypt and the Greco-Roman World,CLASS 2685, 
CA,CLASS,2710,Roman Wall Painting,CLASS 2710, 
CA,CLASS,2743,Archaeology of Roman Private Life,CLASS 2743, 
CA,CLASS,3735,Archaic and Classical Greece,CLASS 3735, 
CA,CLASS,3738,Identity in the Ancient World,CLASS 3738, 
CA,CLASS,3741,Greco-Roman Art from Alexander to Augustus (c.350 BC - AD 20),CLASS 3741, 
CA,CLASS,3802,Race and Ethnicity in the Ancient World,CLASS 3802, 
CA,CLASS,4632,Data Corruption's Deep History,CLASS 4632, 
CA,CLASS,4644,"Sound, Silence, and the Sacred",CLASS 4644, 
CA,CLASS,4670,Archaeology of the Phoenicians,CLASS 4670, 
CA,CLASS,4677,Desert Monasticism,CLASS 4677, 
CA,CLASS,4755,"Sardis, A City at the Crossroads",CLASS 4755, 
CA,CLASS,4756,Producing Cloth Cultures,CLASS 4756, 
CA,CLASS,4803,What Is Classics? Towards a Critical Disciplinary History,CLASS 4803, 
CA,COGST,1212,Music on the Brain,COGST 1212, 
CA,COML,2004,Imagining Spaceflight,COML 2004, 
CA,COML,2006,Punk Culture: The Aesthetics and Politics of Refusal,COML 2006, 
CA,COML,2008,The Aesthetics of Displacement,COML 2008, 
CA,COML,2035,Science Fiction,COML 2035, 
CA,COML,2036,Literature and the Elements of Nature,COML 2036, 
CA,COML,2235,New Visions in African Cinema,COML 2235, 
CA,COML,2241,Game of Thrones: Multi-Media Fantasies,COML 2241, 
CA,COML,2523,Islamophobia and Judeophobia,COML 2523, 
CA,COML,2630,Brazil to Brooklyn: Jewish Cultures of the Americas,COML 2630, 
CA,COML,2703,Thinking Media,COML 2703, 
CA,COML,3112,Media in Transit,COML 3112, 
CA,COML,3240,Blood Politics: Comparative Renaissance Drama,COML 3240, 
CA,COML,3262,Global Cinema II,COML 3262, 
CA,COML,3264,"Poetics, Economies, Ecologies",COML 3264, 
CA,COML,3300,Political Theory and Cinema,COML 3300, 
CA,COML,3336,Border Environments,COML 3336, 
CA,COML,3512,No Rest: The Exhausted Self,COML 3512, 
CA,COML,3542,Fables of Capitalism,COML 3542, 
CA,COML,3580,Imagining Migration in Film and Literature,COML 3580, 
CA,COML,3707,Hidden Identities Onscreen,COML 3707, 
CA,COML,3743,Minorities of the Middle East,COML 3743, 
CA,COML,3780,What is a People? The Social Contract and its Discontents,COML 3780, 
CA,COML,3921,Apes and Language,COML 3921, 
CA,COML,4008,Literature and Relationality,COML 4008, 
CA,COML,4240,The Animal,COML 4240, 
CA,COML,4250,"Marx, Nietzsche, Freud",COML 4250, 
CA,COML,4251,Existentialism,COML 4251, 
CA,COML,4260,"Rethinking Boundaries of the Human: Crip Ecology, Disability, and Otherness",COML 4260, 
CA,COML,4261,Utopia Lost? Failure and its Aftermaths,COML 4261, 
CA,COML,4281,Human-Centered Design and Engaged Media,COML 4281, 
CA,COML,4312,What was Film?,COML 4312, 
CA,COML,4352,"Race and Slavery, Old and Modern",COML 4352, 
CA,COML,4353,Race and Critical Theory,COML 4353, 
CA,COML,4423,The City: Asia,COML 4423, 
CA,COML,4429,Walter Benjamin,COML 4429, 
CA,COML,4463,Modes of Jewish Textuality,COML 4463, 
CA,COML,4471,Premodern-Postmodern,COML 4471, 
CA,COML,4771,"Indigenous Art, Film, and New Media: Anti-Colonial Strategies",COML 4771, 
CA,COML,4861,"Genres, Platforms, Media",COML 4861, 
CA,COML,4902,Environmental Humanities: Theories and Methods,COML 4902, 
CA,COML,4945,Body Politics in African Literature and Cinema,COML 4945, 
CA,COML,4996,Critical Theory and Climate Change,COML 4996, 
CA,COMM,3110,Educational Psychology,COMM 3110, 
CA,COMM,3150,Organizational Communication: Theory and Practice,COMM 3150, 
CA,COMM,3200,New Media and Society,COMM 3200, 
CA,COMM,3560,Computing Cultures,COMM 3560, 
CA,COMM,3710,Crossing Cultures Through Film,COMM 3710, 
CA,COMM,3720,Intercultural Communication,COMM 3720, 
CA,COMM,3800,Television in the Digital Age,COMM 3800, 
CA,COMM,4292,Sexual Identities and the Media,COMM 4292, 
CA,COMM,4300,"Ethics in New Media, Technology, and Communication",COMM 4300, 
CA,COMM,4360,Communication Networks and Social Capital,COMM 4360, 
CA,COMM,5300,"Ethics in New Media, Technology, and Communication",COMM 5300, 
CA,DEA,2025,Impactful Graphics: Visual Communication for Social Impact,DEA 2025, 
CA,DEA,4224,Global Citizenship: Cuba,DEA 4224, 
CA,DEA,4225,Cuba Vista,DEA 4225, 
CA,DSOC,1300,Just Food: Exploring the Modern Food System,DSOC 1300, 
CA,DSOC,2070,Social and Economic Dimensions of Development,DSOC 2070, 
CA,DSOC,2650,Latinos in the United States,DSOC 2650, 
CA,DSOC,5223,"Lifelong Learning, Just Sustainability and Learning Ecosystems",DSOC 5223, 
CA,DSOC,6020,Digital Capitalism,DSOC 6020, 
CA,EDUC,2410,The Art of Teaching,EDUC 2410, 
CA,EDUC,2610,Intergroup Dialogue,EDUC 2610, 
CA,EDUC,3110,Educational Psychology,EDUC 3110, 
CA,EDUC,3142,"Down the School to Prison Track, and Back",EDUC 3142, 
CA,EDUC,4402,Anthropology of Education,EDUC 4402, 
CA,EDUC,4826,Leading Dialogue Across Difference: Practicum in Intergroup Relations,EDUC 4826, 
CA,EDUC,5223,"Lifelong Learning, Just Sustainability and Learning Ecosystems",EDUC 5223, 
CA,ENGL,2035,Science Fiction,ENGL 2035, 
CA,ENGL,2560,Black Queer Writing and Media,ENGL 2560, 
